user_id,install_date,app_version
055db7b342727fba2e61eb94a509a4c5,2016-01-10,v2
055ef0bffda8376336a6c937f813eebd,2015-05-31,v1
056998055c0f17ce581657db6e776c49,2014-12-26,v1
0596abe6989da3422f87d00b9d2c013a,2014-12-31,v1
05a60b5f70401baa409adec95f5b030b,2016-01-12,v2
05ac8254be746e5485c5cc7751ccab4d,2015-09-01,v2
05b7e8cfab6d1dc785dbf21b8d4492e8,2015-12-17,v2
05c3046b5149aa70cd782f3147bee494,2016-01-23,v2
05cfd94b511d3e0e5a8c99d3a7ea14c0,2015-12-26,v2
05f0438e62d68cf3e04ff25661dd36c7,2016-04-12,v2
060cece938cc1b12092b480b204846fe,2015-10-13,v2
063011708f01acc0c7c1a9dc2a268780,2015-09-14,v2
064b9938caa0c8506aabe1daee12a822,2016-01-25,v2
064ef990392362b065b20468fdf68431,2016-07-09,v2
065999a9b91760a2c15c0d8595a486d5,2014-12-30,v1
06841968e08029d6181740b33381390a,2015-12-06,v2
068f39566adff83be78a438e26a96887,2015-01-21,v1
069f9040f450b7b71327c0c0162bb4d6,2015-07-27,v2
06aa2219b0c00443ca4f427699e6603c,2016-01-04,v2
06c552eac25be0dd08f286be7b81e417,2014-12-15,v1
06d13e2d599f04eaff53c582d8f7f9e3,2015-12-26,v2
07132ead5c8a6de4a555b619139a9064,2016-01-07,v2
071c99d293387359dc5e708dba92054a,2016-05-16,v2
073b179367c5808e53b42589a4eb1604,2014-12-25,v1
0747e534df908cb88d94d0a23ef04442,2015-12-29,v2
075c623b57b9c11f3d13cb87d24c45f5,2015-08-31,v2
075fdd0c961113f56ab76e61ba5e75bd,2016-02-08,v2
0763b0fe71b4ec1db8f06947b1bbde3e,2015-12-29,v2
0766047e89328bd94e59b2421c920d5c,2015-07-27,v2
076b43621c34b40200817547228a83ff,2015-07-28,v2
0771c44f640470aaf930e6bd6507778e,2016-02-02,v2
0787f40bde472fb28123ad2389a5cebf,2015-07-26,v1
078ef76cdbf368c7f75e4688c8960f8e,2016-07-20,v2
079dc5327fd25dd352c1696b2a5d87e5,2016-01-10,v2
07b3c8cd18b2c8a0b7c53ded81aeb748,2015-12-29,v2
07b55072fa1533905efd8c0acca4071b,2016-02-14,v2
07c2295af8019246af8e06e4f22a2cf8,2015-12-27,v2
07ce43d3a385d3b362f21c82f51f2869,2016-01-07,v2
07e4eb1a723a0201643beb58e92c27cc,2015-12-22,v2
07f8515af005b190d69e11c546d68387,2014-12-21,v1
0810a72ceee0d99d4505e1a007704943,2015-12-28,v2
0868fb8bf898573228b23d9cde3ba5b9,2016-07-28,v2
087d967b300fd982fb2f2ef956d3dc82,2015-12-25,v2
0884b5cb6dd6809d564e017752a2cf3a,2014-12-25,v1
08910b0732fa3d6954aae8a3cbf94025,2015-07-27,v1
089438a789849b6f0173bac5002f068a,2015-03-01,v1
089b34eefae91435ffc120dc65eadaf9,2015-08-02,v2
089f58169a7d2cbd8772025508027c22,2016-02-20,v2
08a04c5c5e96f21310f6e6fb8fbe9211,2015-12-26,v2
08a7c1876f7fc8c0ddfc49a561bf3964,2016-02-28,v2
08a93253ba20a5734bd2a8161583b335,2015-12-29,v2
